**********************************************************************
*** Measurements of CO mixing ratio and d13C-CO in                 ***
*** air samples from Montana de Oro, CA, USA                       ***
***                                                                ***
***                                                                ***
*** Jan. 23, 1996 to Dec. 01, 2001                                 ***
***                                                                ***
*** Source:      S.C. Tyler                                        ***
***              Department of Earth System Science                ***
***              University of California                          ***
***              Irvine, CA 92697                                  ***
***                                                                ***
***                                                                ***   
*** July 2003                                                      ***
***                                                                ***
**********************************************************************

Error in measurement is 1 standard deviation from the mean of multiple samples collected.

Date	Time	CO	CO	d13CO	d13CO	wind	wind	wind
		conc.	conc.	avg.	err.	spd.	spd.	dir.
		avg.	error	(per	(per	(mph)	(km/hr)	(degrees)
		(ppb)	(ppb)	mil)	mil)           
								
1/23/96	4:45	149.0	0.0	NM	NM	7	11.3	290
2/23/96	3:50	189.0	0.0	NM	NM	16	25.8	310
3/23/96	5:12	242.0	0.0	NM	NM	20	32.2	310
5/24/96	7:42	163.5	29.0	NM	NM	4	6.4	310
6/20/96	5:20	103.0	2.8	NM	NM	13	20.9	295
7/18/96	4:31	112.8	25.7	NM	NM	5	8.1	320
8/29/96	5:00	121.0	11.3	NM	NM	9	14.5	320
9/17/96	5:15	143.0	9.9	NM	NM	5	8.1	290
11/14/963:58	157.0	10.7	NM	NM	25	40.3	270
12/1/96	3:34	143.5	7.8	NM	NM	18	29.0	280
12/21/964:20	160.3	2.2	NM	NM	10	16.1	140
1/28/97	11:36	216.0	7.1	NM	NM	12	19.3	300
2/13/97	1:32	187.0	0.0	NM	NM	14	22.5	300
2/28/97	3:34	178.0	2.8	NM	NM	10	16.1	280
3/25/97	2:16	220.5	7.8	NM	NM	3	4.8	280
4/9/97	3:53	184.5	3.5	NM	NM	19	30.6	290
4/25/97	3:03	192.0	7.1	NM	NM	5	8.1	280
5/8/97	5:43	176.5	4.9	NM	NM	6	9.7	310
5/29/97	5:33	NM	NM	NM	NM	5	8.1	300
6/25/97	6:12	124.0	0.0	NM	NM	4	6.4	250
7/10/97	6:34	118.5	2.1	NM	NM	6	9.7	280
8/13/97	6:24	103.0	0.8	NM	NM	7	11.3	290
8/27/97	6:39	74.0	0.0	NM	NM	4	6.4	280
9/10/97	5:47	79.1	0.0	NM	NM	4	6.4	305
10/3/97	6:27	150.0	0.0	NM	NM	5	8.1	320
10/22/975:18	173.1	0.0	NM	NM	13	20.9	280
11/12/975:55	121.0	0.0	NM	NM	10	16.1	290
12/11/974:10	176.5	7.8	NM	NM	3	4.8	NM
12/23/975:55	138.8	11.8	NM	NM	4	6.4	360
1/16/98	5:34	162.5	0.7	NM	NM	13	20.9	275
2/9/98	4:29	152.7	1.9	NM	NM	11	17.7	290
2/27/98	6:22	147.7	2.9	NM	NM	NM	NM	300
4/5/98	6:58	199.0	9.9	NM	NM	11	17.7	290
5/9/98	5:48	128.5	2.1	NM	NM	19	30.6	280
6/10/98	4:53	120.5	3.5	NM	NM	7	11.3	280
7/2/98	5:48	92.8	1.1	NM	NM	10	16.1	125
7/16/98	7:07	79.5	0.7	NM	NM	4	6.4	290
8/1/98	5:37	125.5	2.1	NM	NM	8	12.9	330
8/23/98	6:24	123.4	3.5	NM	NM	6	9.7	330
9/26/98	6:55	172.2	0.8	NM	NM	4	6.4	120
10/25/983:05	164.9	0.7	NM	NM	8	12.9	300
11/19/984:28	164.3	1.6	NM	NM	6	9.7	360
12/13/984:56	123.4	0.0	NM	NM	2	3.2	276
12/28/985:35	NM	NM	NM	NM	3	4.8	20
1/31/99	2:17	147.8	1.0	NM	NM	18	29.0	280
4/18/99	4:45	152.1	0.8	NM	NM	6	9.7	320
4/30/99	4:52	149.4	0.8	NM	NM	6	9.7	270
6/23/99	4:20	135.4	1.3	NM	NM	5	8.1	296
7/12/99	6:17	102.3	0.0	NM	NM	7	11.3	310
7/25/99	5:25	62.1	15.1	NM	NM	9	14.5	300
8/5/99	4:58	84.3	0.0	NM	NM	0	0.0	360
8/22/99	4:23	91.7	2.9	NM	NM	5	8.1	180
9/30/99	4:45	152.3	3.0	NM	NM	9	14.5	340
11/1/99	2:04	NM	NM	NM	NM	2	3.2	340
11/3/99	2:54	180.4	1.6	NM	NM	14	12.9	340
11/22/991:52	137.2	1.1	NM	NM	8	12.9	340
12/12/992:51	175.5	4.0	NM	NM	2	3.2	345
12/30/995:10	195.5	2.5	NM	NM	7.5	12.1	300
2/25/00	5:05	152.2	4.2	NM	NM	7	11.3	310
3/13/00	4:10	153.3	2.9	NM	NM	7	11.3	330
4/5/00	4:05	134.2	0.1	NM	NM	10	16.1	310
4/19/00	4:39	150.1	0.1	NM	NM	5	8.1	317
5/5/00	3:42	132.8	1.6	NM	NM	6	9.7	317
5/19/00	4:15	133.6	0.0	NM	NM	6	9.7	297
6/6/00	5:19	NM	NM	NM	NM	5	8.1	297
6/27/00	5:07	138.7	1.6	-25.34	9.02	8	12.9	297
7/28/00	4:26	95.9	2.2	-26.88	0.49	6	9.7	335
8/21/00	3:13	104.8	1.7	-26.70	0.79	3	4.8	277
9/22/00	3:50	96.0	3.0	-27.49	0.13	8	12.9	177
10/18/003:58	164.2	2.2	-24.84	4.01	8	12.9	336
11/1/00	5:02	143.5	3.3	-26.16	0.05	9	14.5	300
11/17/004:53	143.1	0.0	-27.18	0.93	10	16.1	300
12/15/003:53	NM	NM	-27.36	0.72	11	17.7	320
1/17/01	3:21	169.3	0.0	-26.72	0.27	19	30.6	280
2/5/01	4:56	180.1	0.0	-27.12	1.05	5	8.1	300
2/22/01	3:14	171.3	0.0	-29.32	3.33	13	20.9	270
4/4/01	3:06	151.7	0.7	-25.09	0.97	10	16.1	270
4/25/01	3:05	144.9	1.2	-24.66	0.29	8	12.9	290
5/9/01	3:21	134.8	0.0	-24.60	0.00	8	12.9	300
6/1/01	5:02	125.1	7.3	-25.90	0.45	3	4.8	290
