**********************************************************************
*** Measurements of CH4 mixing ratio and D/H and                   ***
*** 13C/12C isotope ratios in atmospheric samples                  ***
*** from Niwot Ridge, Colorado, U.S.A.                             ***
***                                                                ***
*** Dec. 29, 1994 to Apr. 27, 2001                                 ***
***                                                                ***
*** Source:      S.C. Tyler                                        ***
***              Department of Earth System Science                ***
***              University of California                          ***
***              Irvine, CA 92697                                  ***
***                                                                ***
*** May 2003                                                       ***
***                                                                ***
**********************************************************************
						
Each mixing ratio data point represents the result of one sample measurement made 
with a precision of 5 ppb.								

Each d13C-CH4 data point represents the result of one sample measurement made with 
an overall precision of 0.05 per mil.

Error in dD-CH4 measurement is 1 standard deviation from the mean of multiple samples.

Date		Time	CH4	d13CH4	dD-CH4	dD-CH4	wind	wind	wind
		(local	conc.				spd.	spd.	dir.
		time)	(ppb)	(per	(per	s.d.	(mph)	(km/hr)	(degrees)
				mil)	mil)	(1s)
								
12/29/1994	11:00AM	1764.9	-47.06	NM	NM	4	6.4	225
1/26/1995	11:00AM	1753.8	-47.24	NM	NM	3	4.8	315
2/16/1995	11:30AM	1769.4	-47.17	NM	NM	3	4.8	157
4/14/1995	11:20	1789.0	-47.15	NM	NM	NM	NM	NM
5/4/1995	11:30	1793.1	-47.16	NM	NM	2	3.2	280
5/11/1995	11:45	1786.4	-47.12	NM	NM	13	20.9	292
6/16/1995	11:40	1738.5	-47.29	NM	NM	5	8.0	157
6/29/1995	11:15	1818.9	-47.42	NM	NM	NM	NM	NM
7/14/1995	11:30	1755.9	-47.02	NM	NM	3	4.8	135
8/3/1995	11:00	1741.5	-47.27	NM	NM	3	4.8	292
8/25/1995	11:55	1730.3	-47.23	NM	NM	NM	NM	NM
9/7/1995	11:30	1763.0	-47.41	NM	NM	0	0.0	45
9/22/1995	10:45	1759.8	-47.49	NM	NM	8	12.9	180
10/5/1995	12:20	1769.8	-47.45	NM	NM	3	4.8	292
11/1/1995	11:00	1784.6	-47.38	NM	NM	3	4.8	270
11/17/1995	12:00	1769.0	-47.52	NM	NM	15	24.1	270
12/1/1995	11:40	1761.4	-47.06	NM	NM	25	40.2	292
12/22/1995	11:30	1815.5	-47.17	NM	NM	NM	NM	NM
2/2/1996	13:00	1796.3	-47.49	NM	NM	3	4.8	202
2/8/1996	11:45	1739.4	-47.40	NM	NM	6	9.7	292
3/15/1996	10:45	1778.3	-47.38	NM	NM	1	1.6	225
4/5/1996	12:00	1769.2	-47.36	NM	NM	2	3.2	135
4/12/1996	11:00	1780.2	-47.38	NM	NM	3	4.8	225
5/3/1996	12:00	1741.1	-47.22	NM	NM	5	8.0	225
6/14/1996	10:45	1754.6	-47.22	NM	NM	8	12.9	315
7/22/1996	11:35	1792.8	-47.44	NM	NM	2	3.2	360
9/12/1996	11:30	1818.5	-47.38	NM	NM	2	3.2	120
9/27/1996	11:45	1814.1	-47.58	NM	NM	1	1.6	225
10/11/1996	11:55	1763.6	-47.39	NM	NM	6	9.7	315
11/15/1996	11:15	1828.3	-47.44	NM	NM	3	4.8	135
12/12/1996	11:00	1773.0	-47.34	NM	NM	4	6.4	150
1/9/1997	10:45	1794.6	-47.30	NM	NM	16	25.7	300
1/17/1997	10:45	1789.7	-47.25	NM	NM	16	25.7	270
2/6/1997	14:00	1839.9	-47.32	NM	NM	3	4.8	45
2/21/1997	10:40	1806.6	-47.28	NM	NM	7	11.3	270
