**********************************************************************
*** Carbon monoxide (CO) mixing ratio and d13C-CO                  ***
*** at Niwot Ridge, Colorado, USA                                  ***
***                                                                ***
***                                                                ***
*** Dec. 29, 1994 to April 27, 2001                                ***
***                                                                ***
*** Source:      S.C. Tyler                                        ***
***              Department of Earth System Science                ***
***              University of California                          ***
***              Irvine, CA 92697                                  ***
***                                                                ***
***                                                                ***   
*** July 2003                                                      ***
***                                                                ***
**********************************************************************
								
Each mixing ratio data point represents the result of one sample measurement made 
with a precision based on the standard deviation of the average of multiple determinations 
by gas chromatography.								

Each d13C-CO data point represents the uncertainty in the determination of the measurement 
of a single sample where precision results from overall errors in sample collection, 
processing, and measurement.

Date	 Local		CO	CO Std.	d13CO	wind	wind	wind
	 Time		conc.	dev.	(per	spd.	spd.	dir.
			(ppb)	(ppb)	 mil)	(mph)	(km/hr)	(degrees)
						
12/29/94 11:00 AM	113.3	0.6	NM	4	6.4	225	
1/26/95	11:00 AM	114.9	0.6	NM	3	4.8	315	
2/16/95	11:30 AM	128.1	0.4	NM	3	4.8	157	
4/14/95	11:20 AM	135.3	0.6	NM	NM	NM	NM	
5/4/95	11:30 AM	134.4	1.3	NM	2	3.2	280	
5/11/95	11:45 AM	135.8	1.4	NM	13	20.9	292	
6/16/95	11:40 AM	116.5	0.8	NM	5	8.0	157	
6/29/95	11:15 AM	181.2	NM	NM	NM	NM	NM	
7/14/95	11:30 AM	138.3	1.0	NM	3	4.8	135	
8/3/95	11:00 AM	106.9	1.0	NM	3	4.8	292	
8/25/95	11:55 AM	102.6	0.7	NM	NM	NM	NM	
9/7/95	11:30 AM	105.1	1.0	NM	0	0.0	45
9/22/95	10:45 AM	85.1	0.9	NM	8	12.9	180
10/5/95	12:20 PM	110.4	1.0	NM	3	4.8	292
11/1/95	11:00 AM	120.1	1.2	NM	3	4.8	270
11/17/95 12:00 PM	90.0	0.9	NM	15	24.1	270
12/1/95	11:40 AM	92.0	1.0	NM	25	40.2	292
12/22/95 11:30 AM	157.9	1.6	NM	NM	NM	NM
2/2/96	1:00 PM		150.0	NM	NM	3	4.8	202
2/8/96	11:45 AM	95.1	NM	NM	6	9.7	292
3/15/96	10:45 AM	140.5	NM	NM	1	1.6	225
4/5/96	12:00 PM	130.4	1.3	NM	2	3.2	135
4/12/96	11:00 AM	143.9	1.4	NM	3	4.8	225
5/3/96	12:00 PM	105.2	1.1	NM	5	8.0	225
6/14/96	10:45 AM	201.0	2.0	NM	8	12.9	315
7/22/96	11:35 AM	152.0	1.5	NM	2	3.2	360
9/12/96	11:30 AM	148.9	1.5	NM	2	3.2	120
9/27/96	11:45 AM	164.3	1.6	NM	1	1.6	225
10/11/96 11:55 AM	120.8	1.2	NM	6	9.7	315
11/15/96 11:15 AM	150.3	1.9	NM	3	4.8	135
12/12/96 11:00 AM	109.5	1.0	NM	4	6.4	150
1/9/97	10:45 AM	140.9	1.4	NM	16	25.7	300
1/17/97	10:45 AM	129.9	1.3	NM	16	25.7	270
2/6/97	2:00 PM		191.4	1.9	NM	3	4.8	45
2/21/97	10:40 AM	152.5	1.5	NM	7	11.3	270
4/3/97	12:30 PM	157.4	1.6	NM	3	4.8	360
5/1/97	11:45 AM	151.0	NM	NM	13	20.9	270
5/14/97	10:30 AM	126.8	1.3	NM	6	9.7	315
5/22/97	11:30 AM	119.3	1.2	NM	0	0.0	0
7/11/97	11:30 AM	104.5	1.0	NM	3	4.8	300
7/25/97	12:42 PM	110.7	1.1	NM	2	3.2	135
8/21/97	10:45 AM	90.4	0.9	NM	18	29.0	270
9/11/97	12:15 PM	102.0	1.0	NM	4	6.4	135
10/10/97 11:00 AM	103.5	1.0	NM	6	9.7	270
10/23/97 11:20 AM	119.9	1.2	NM	11	17.7	225
11/20/97 11:13 AM	123.4	1.2	NM	7	11.3	240
12/5/97	12:00 PM	129.2	1.3	NM	19	30.6	315
12/18/97 11:00 AM	112.3	1.1	NM	5	8.0	300
1/8/98	11:10 AM	115.1	1.1	NM	15	24.1	315
2/6/98	10:40 AM	131.2	1.3	NM	12	19.3	315
2/26/98	10:45 AM	171.7	1.7	NM	25	40.2	270
4/2/98	10:35 AM	177.9	1.8	NM	10	16.1	60
5/15/98	10:15 AM	160.0	1.6	NM	10	16.1	300
6/4/98	10:15 AM	124.4	1.2	NM	2	3.2	135
6/26/98	11:30 AM	NM	NM	NM	8	12.9	240
8/7/98	10:00 AM	68.6	1.0	NM	1	1.6	60
8/28/98	10:45 AM	95.0	1.0	NM	1	1.6	270
9/25/98	10:45 AM	87.4	1.1	NM	6	9.7	270
10/15/98 10:45 AM	97.1	1.0	NM	5	8.0	300
11/29/98 10:45 AM	149.9	1.5	NM	3	4.8	315
12/3/98	10:45 AM	117.1	1.0	NM	4	6.4	135
12/17/98 11:30 AM	104.2	5.7	NM	20	32.2	315
1/15/99	10:45		134.2	1.6	NM	25	40	270
2/26/99	10:40		141.1	2.0	NM	10	16	240
4/2/99	10:50		164.2	0.5	NM	2	3.2	135
4/22/99	11:40		152.6	2.3	NM	2	3.2	135
5/6/99	10:45		139.5	1.1	NM	13	20.8	270
5/21/99	11:10		128.8	1.9	NM	2	3.2	225
6/3/99	10:35		139.1	0.8	NM	3	4.8	315
6/18/99	10:30		112.6	1.6	NM	13	20.8	270
7/1/99	10:40		99.8	2.5	NM	6	9.6	270
7/29/99	10:45		88.6	1.8	NM	7	11.2	270
9/3/99	10:45		98.7	2.0	NM	6	9.6	235
9/16/99	10:35		109.6	0.8	NM	3	4.8	45
10/15/99 10:50		126.8	2.2	NM	6	9.6	135
11/5/99	10:15		95.6	1.7	NM	9	14.4	240
11/19/99 11:30		105.1	4.3	-28.031	11	17.6	270
1/7/00	11:00		130.9	1.4	-28.930	3	4.8	45
