Air samples collected at Olympic Peninsula, USA.(48°N, 126°W)


SIL ID #   Identification Number used at the Stable Isotope Lab, 
            University of Washington.
Date       Date that this sample was collected.
CH4-SIL    Methane concentration (ppm) determined manometrically at SIL with 
            precision of ± 2%, see Quay et al. (1).
CH4-CMDL   Methane concentration (ppm) determined by gas chromatography by 
            NOAA/CMDL laboratory with precsion of ±0.2%, see Dlugokencky et al. (2).
Del 13C    Measured 13C/12C in per mil (0/00) units, where
            del 13C(0/00) ={[(13C/12C)sample/(13C/12C)standard - 1]*1000}
            and the standard is VPDB, see Quay et al. (1).
            Del 13C (0/00) corrected for standard drift, see Quay et al. (1).



SIL ID #        Date     CH4-SIL  CH4-CMDL  Del 13C
TTCM0034        11-01-88   1.77      NaN    -47.75
TTCM0035        29-03-88   1.76      NaN    -47.56
TTCM0036        3-04-88    1.79      NaN    -47.69
TTCM0037        18-05-88   1.77      NaN    -47.64
TTCM0038        7-06-88    1.47      NaN    -47.41
TTCM0039        15-07-88   1.73      NaN    -47.51
TTCM0040        6-08-88    1.68      NaN    -47.60
TTCM0041        6-09-88    1.79      NaN    -47.85
TTCM0043        14-09-88   1.78      NaN    -47.83
TTCM0042        21-09-88   1.72      NaN    -47.71
TTCM0044        7-10-88    1.73      NaN    -47.37
TTCM0045        14-10-88   1.75      NaN    -47.61
TTCM0046        25-10-88   1.77      NaN    -47.61
TTCM0047        4-11-88    1.79      NaN    -47.76
TTCM0053        4-11-88    1.74      NaN    -47.75
TTCM0048        17-11-88   1.78      NaN    -47.67
TTCM0049        13-12-88   1.79      NaN    -47.60
TTCM0052        13-12-88   1.67      NaN    -47.56
TTCM0051        13-12-88   1.77      NaN    -47.63
TTCM0057        10-01-89   1.73      NaN    -47.59
TTCM0058        10-01-89   1.74      NaN    -47.51
TTCM0055        10-01-89   1.84      NaN    -47.68
TTCM0056        21-01-89   1.72      NaN    -47.54
TTCM0054        15-02-89   1.77      NaN    -47.65
TTCM0059        7-03-89    1.80      NaN    -47.60
TTCM0060        22-03-89   1.80      1.964  -47.51
TTCM0061        20-04-89   1.79      1.758  -47.51
TTCM0063        6-06-89    1.75      1.734  -47.45
TTCM0064        7-06-89    1.74      1.745  -47.48
TTCMOO65        9-06-89    1.77      1.743  -47.38
TTCM0066        13-07-89   1.75      1.719  -47.31
TTCM0067        28-07-89   1.72      1.723  -47.44
TTCM0068        15-08-89   1.74      1.763  -47.27
TTCM0069        15-09-89   1.80      1.763  -47.78
TTCM0076        30-09-89   1.73      1.754  -47.74
TTCM0077        14-10-89   1.73      1.769  -47.81
TTCM0078        21-10-89   1.74      1.746  -47.61
TTCM0079        29-10-89   1.75      1.792  -47.59
TTCM0080        4-11-89    1.75      1.771  -47.67
TTCM0081        19-11-89   1.74      1.735  -47.57
TTCM0084        2-12-89    1.76      1.759  -47.48
TTCM0083        16-12-89   1.74      1.753  -47.40
TTCM0084A       13-01-90   1.77      1.776  -47.51
TTCM0085        27-01-90   1.76      1.759  -47.47
TTCM0089        3-03-90    1.73      1.764  -47.35
TTCM0093        22-03-90   1.75      1.782  -47.39
TTCM0092        22-03-90   1.77      1.782  -47.47
TTCM0088        23-03-90   1.78      1.784  -47.39
TTCM0091        7-04-90    1.77      1.756  -47.40
TTCM0097        7-04-90    1.79      1.756  -47.36
TTCM0096        7-04-90    1.94      1.756  -47.42
TTCM0094        7-04-90    1.80      1.756  -47.44
TTCM0098        7-04-90    1.75      1.756  -47.38
TTCMO121        8-05-90    1.73      NaN    -47.39
TTCM0101        10-06-90   1.73      1.753  -47.52
TTCM0099        10-06-90   1.77      1.753  -47.35
TTCM0100        10-06-90   1.74      1.753  -47.48
TTCM0102        24-06-90   1.73      1.760  -47.55
TTCM0103        24-06-90   1.76      1.760  -47.47
TTCM0104        8-07-90    1.76      1.735  -47.32
TTCM0106        22-07-90   1.72      1.753  -47.52
TTCM0105        22-07-90   1.74      1.753  -47.56
TTCM0107        11-08-90   1.75      1.731  -47.48
TTCM0108        2-09-90    1.72      1.778  -47.94
TTCM0109        16-09-90   1.77      1.745  -47.77
TTCM0110        13-10-90   1.75      1.785  -47.74
TTCM0111        13-10-90   1.75      1.785  -47.86
TTCM0113        11-11-90   1.72      1.735  -47.39
TTCM0114        4-12-90    1.78      1.807  -47.74
TTCM0116        28-12-90   1.78      1.789  -47.67
TTCM0115        28-12-90   1.74      1.789  -47.64
TTCM0120        20-01-91   1.73      1.777  -47.63
TTCM0122        3-02-91    1.75      NaN    -47.67
TTCM0119        24-02-91   1.75      1.779  -47.24
TTCM0118        24-02-91   1.73      1.779  -47.54
TTCM0123        21-03-91   1.77      1.796  -47.73
TTCM0124        24-04-91   1.74      1.765  -47.28
TTCM0125        15-05-91   1.76      1.779  -47.61
TTCM0127        31-05-91   1.74      1.783  -47.63
TTCM0128        26-06-91   1.72      1.760  -47.26
TTCM0129        21-07-91   1.72      1.709  -47.30
TTCM0130        13-08-91   1.80      NaN    -47.70
TTCM0132        9-09-91    1.75      1.782  -47.95
TTCM0133        11-10-91   1.70      1.741  -47.51
TTCM0134        31-10-91   1.80      1.823  -47.29
TTCM0136        31-10-91   1.79      1.882  -47.67
TTCM0137        31-10-91   1.85      1.823  -47.50
TTCM0139        2-12-91    1.79      1.790  -47.69
TTCM0138        2-12-91    1.80      1.790  -47.45
TTCM0142        18-01-92   1.79      1.795  -47.77
TTCM0141        18-01-92   1.78      1.795  -47.64
TTCM0140        18-01-92   1.78      1.795  -47.59
TTCM0144        5-02-92    1.76      1.794  -47.47
TTCM0145        5-02-92    1.83      1.794  -47.45
TTCM0146        5-02-92    1.84      1.794  -47.59
TTCM0151        5-03-92    1.85      1.786  -47.48
TTCM0150        5-03-92    1.83      1.786  -47.47
TTCM0148        11-04-92   1.84      NaN    -47.25
TTCM0143        11-04-92   1.97      NaN    -47.45
TTCM0149        11-04-92   1.83      NaN    -47.25
TTCM0147        11-04-92   1.83      NaN    -47.25
TTCM0153        15-05-92   1.82      1.782  -47.49
TTCM0152        15-05-92   1.79      1.782  -47.50
TTCM0155        14-06-92   1.77      1.732  -47.32
TTCM0154        14-06-92   1.67      1.732  -47.27
TTCM0156        12-07-92   1.80      1.743  -47.54
TTCM0157        12-07-92   1.80      1.743  -47.46
TTCM0159        30-07-92   1.77      NaN    -47.43
TTCM0158        30-07-92   1.80      NaN    -47.40
TTCM0162        2-09-92    1.80      1.766  -47.62
TTCM0164        4-10-92    1.79      NaN    -47.70
TTCM0163        4-10-92    1.84      NaN    -47.63
TTCM0165        4-10-92    1.81      NaN    -47.68
TTCM0166        8-11-92    1.81      1.778  -47.58
TTCM0170        28-11-92   1.82      1.782  -47.64
TTCM0169        28-11-92   1.81      1.782  -47.57
TTCM0172        20-12-92   1.83      1.785  -47.46
TTCM0171        20-12-92   1.81      1.785  -47.54
TTCM0173        6-02-93    1.84      1.787  -47.47
TTCM0174        6-02-93    1.80      1.787  -47.24
TTCM0175        27-02-93   1.86      1.793  -47.29
TTCM0176        27-02-93   1.81      1.793  -47.45
TTCM0177        13-03-93   1.78      1.780  -47.51
TTCM0178        13-03-93   1.82      1.780  -47.44
TTCM0179        28-03-93   1.83      1.790  -47.41
TTCM0182        1-05-93    1.82      1.783  -47.34
TTCM0180        1-05-93    1.84      1.783  -47.21
TTCM0183        1-05-93    1.82      1.783  -47.23
TTCM0184        1-05-93    1.87      1.783  -47.38
TTCM0181        1-05-93    1.81      1.783  -47.37
TTCM0187        14-05-93   1.77      1.779  -47.33
