Air samples collected at Cape Matatula, American Samoa.(14°S, 171°W)


SIL ID #    Identification Number used at the Stable Isotope Lab, 
             University of Washington.
Date        Date that this sample was collected.
CH4-SIL     Methane concentration (ppm) determined manometrically at SIL with 
             precision of ± 2%, see Quay et al. (1).
CH4-CMDL    Methane concentration (ppm) determined by gas chromatography by 
             NOAA/CMDL laboratory with precsion of ±0.2%, see Dlugokencky et al. (2).
Del 13C     Measured 13C/12C in per mil (0/00) units, where
             del 13C(0/00) ={[(13C/12C)sample/(13C/12C)standard - 1]*1000}
             and the standard is VPDB, see Quay et al. (1).
             Del 13C (0/00) corrected for standard drift, see Quay et al. (1).



SIL ID #     Date        CH4-SIL   CH4-CMDL  Del 13C
TTOM0001    15-12-89       1.66      1.964  -47.34
TTOM0002    28-12-89       1.64      1.634  -47.24
TTOM0003    11-01-90       1.70      1.642  -47.21
TTOM0004    27-01-90       1.66      1.626  -47.22
TTOM0005    2-03-90        1.70      NaN    -47.15
TTOM0008    29-03-90       1.65      NaN    -47.18
TTOM0012    27-04-90       1.63      1.638  -47.32
TTOM0011    27-04-90       1.66      1.638  -47.05
TTOM0016    11-05-90       1.67      1.633  -47.30
TTOM0015    11-05-90       1.70      1.633  -47.33
TTOM0018    11-05-90       1.68      1.633  -47.29
TTOM0013    25-05-90       1.64      1.640  -47.30
TTOM0014    25-05-90       1.66      1.640  -47.16
TTOM0017    7-06-90        1.64      1.646  -47.27
TTOM0020    7-06-90        1.65      1.646  -47.24
TTOM0019    7-06-90        1.63      1.646  -47.29
TTOM0022    22-06-90       1.68      1.652  -47.18
TTOM0021    22-06-90       1.61      1.652  -47.18
TTOM0025    6-07-90        1.66      1.650  -47.41
TTOM0023    6-07-90        1.66      1.650  -47.32
TTOM0024    20-07-90       1.68      1.657  -47.28
TTOM0027    2-08-90        1.67      1.665  -47.20
TTOM0026    2-08-90        1.64      1.665  -47.06
TTOM0029    16-08-90       1.69      1.656  -47.31
TTOM0028    16-08-90       1.68      1.656  -47.27
TTOM0033    30-08-90       1.68      1.664  -47.33
TTOM0030    13-09-90       1.72      1.649  -47.25
TTOM0031    28-09-90       1.66      1.662  -47.30
TTOM0034    11-10-90       1.68      1.648  -47.24
TTOM0035    30-10-90       1.66      1.647  -47.29
TTOM0037    9-11-90        1.66      1.653  -47.20
TTOM0036    9-11-90        1.65      1.653  -47.26
TTOM0039    23-11-90       1.69      1.662  -47.25
TTOM0038    23-11-90       1.68      1.662  -47.35
TTOM0042    6-12-90        1.67      1.644  -47.32
TTOM0041    6-12-90        1.67      1.644  -47.20
TTOM0040    24-12-90       1.67      1.681  -47.48
TTOM0043    4-01-91        1.67      1.680  -47.33
TTOM0045    18-01-91       1.67      1.664  -47.60
TTOM0046    12-02-91       1.64      1.651  -47.36
TTOM0047    28-02-91       1.67      1.690  -47.33
TTOM0048    14-03-91       1.64      1.650  -47.37
TTOM0049    26-03-91       1.64      1.654  -47.32
TTOM0050    9-04-91        1.64      1.639  -47.41
TTOM0053    4-06-91        1.70      1.654  -47.37
TTOM0058    19-06-91       1.68      1.705  -47.37
TTOM0056    10-07-91       1.68      1.685  -47.05
TTOM0057    21-08-91       1.66      NaN    -47.23
TTOM0060    23-09-91       1.68      1.679  -47.25
TTOM0063    22-10-91       1.67      1.666  -47.03
TTOM0066    19-11-91       1.69      1.664  -47.25
TTOM0065    3-12-91        1.71      1.663  -47.30
TTOM0064    3-12-91        1.68      1.663  -47.13
TTOM0069    23-01-92       1.65      1.657  -47.35
TTOM0072    10-03-92       1.79      1.697  -47.18
TTOM0078    6-04-92        1.67      1.651  -46.91
TTOM0079    6-04-92        1.72      1.651  -47.17
TTOM0073    27-05-92       1.73      1.669  -47.36
TTOM0072A   27-05-92       1.69      1.669  -47.52
TTOM0075    6-07-92        1.72      1.674  -47.30
TTOM0074    6-07-92        1.72      1.674  -47.29
TTOM0076    27-07-92       1.77      1.674  -47.31
TTOM0077    27-07-92       1.74      1.674  -47.38
TTOM0081    25-08-92       1.68      1.675  -47.09
TTOM0083    8-09-92        1.72      1.670  -47.44
TTOM0082    8-09-92        1.60      1.670  -47.13
TTOM0086    28-09-92       1.68      1.672  -47.24
TTOM0085    28-09-92       1.73      1.672  -47.19
TTOM0084    28-09-92       1.78      1.672  -47.10
TTOM0087    16-11-92       1.72      1.665  -47.25
TTOM0089    16-11-92       1.68      1.665  -46.95
TTOM0088    16-11-92       1.75      1.665  -47.30
TTOM0095    2-12-92        1.78      1.667  -47.27
TTOM0094    2-12-92        1.71      1.667  -47.15
TTOM0091    14-12-92       1.75      1.659  -47.15
TTOM0090    14-12-92       1.70      1.659  -47.19
TTOM0093    31-12-92       1.73      1.659  -47.12
TTOM0099    14-01-93       1.70      1.668  -47.46
TTOM0098    14-01-93       1.77      1.668  -47.29
TTOM0100    4-02-93        1.71      1.683  -47.22
TTOM0102    25-03-93       1.71      1.668  -47.29
TTOM0101    25-03-93       1.78      1.668  -47.15
TTOM0107    20-04-93       1.72      1.671  -47.29
TTOM0108    20-04-93       1.76      1.671  -47.23
TTOM0103    5-05-93        1.75      1.666  -47.17
TTOM0106    31-05-93       1.72      1.666  -47.15
TTOM0105    31-05-93       1.74      1.666  -47.11
TTOM0109    21-06-93       1.74      NaN    -47.25
TTOM0113    27-07-93       1.74      1.689  -47.39
TTOM0112    27-07-93       1.73      1.689  -47.40
TTOM0110    9-08-93        1.74      1.677  -47.29
TTOM0111    9-08-93        1.75      1.677  -47.19
TTOM0110A   18-08-93       1.72      NaN    -47.47
TTOM0114    30-08-93       1.72      1.684  -47.39
TTOM0118    26-10-93       1.77      1.673  -47.18
TTOM0117    26-10-93       1.74      1.673  -47.12
TTOM0126    9-11-93        1.77      NaN    -47.11
TTOM0119    15-12-93       1.75      NaN    -47.11
TTOM0120    15-12-93       1.75      NaN    -47.20
TTOM0122    27-12-93       1.72      1.684  -46.94
TTOM0121    27-12-93       1.76      1.684  -47.04
TTOM0123    20-01-94       1.72      1.664  -47.29
TTOM0124    20-01-94       1.76      1.664  -46.93
TTOM0129    1-04-94        1.73      NaN    -47.30
TTOM0128    5-04-94        1.78      NaN    -47.23
TTOM0127    5-04-94        1.77      NaN    -47.31
TTOM0133    5-05-94        1.71      NaN    -47.15
TTOM0132    5-05-94        1.72      NaN    -47.23
TTOM0131    17-05-94       1.75      NaN    -47.19
TTOM0130    17-05-94       1.76      NaN    -47.06
TTOM0135    1-06-94        1.75      NaN    -47.25
TTOM0134    1-06-94        1.79      NaN    -47.22
TTOM0136    21-06-94       1.77      NaN    -47.28
TTOM0149    27-07-94       1.79      NaN    -47.26
TTOM0141    23-08-94       1.80      NaN    -47.33
TTOM0142    15-09-94       1.71      NaN    -47.19
TTOM0145    20-10-94       1.76      NaN    -47.18
TTOM0146    20-10-94       1.77      NaN    -47.11
TTOM0147    2-11-94        1.74      NaN    -47.17
TTOM0148    23-11-94       1.78      NaN    -47.23
TTOM0151    12-12-94       1.80      NaN    -47.14
TTOM0155    22-02-95       1.75      NaN    -47.13
TTOM0154    2-03-95        1.76      NaN    -47.06
TTOM0157    22-03-95       1.79      NaN    -47.09
TTOM0163    8-05-95        1.73      NaN    -47.11
TTOM0162    8-05-95        1.84      NaN    -47.21
TTOM0160    23-05-95       1.70      NaN    -47.29
TTOM0159    23-05-95       1.73      NaN    -47.25
TTOM0161    7-06-95        1.24      NaN    -47.17
TTOM0165    5-07-95        1.74      NaN    -47.20
TTOM0164    5-07-95        1.81      NaN    -47.26
TTOM0167    21-07-95       1.53      NaN    -47.13
TTOM0166    2-08-95        1.72      NaN    -47.14
TTOM0169    29-08-95       1.64      NaN    -47.14
TTOM0170    11-09-95       1.75      NaN    -47.01
TTOM0171    8-11-95        1.74      NaN    -47.14
TTOM0172    22-11-95       1.76      NaN    -47.42
TTOM0173    26-12-95       1.72      NaN    -47.14
TTOM0174    26-12-95       1.54      NaN    -47.12
TTOM0175    8-01-96        1.73      NaN    -47.12
TTOM0176    8-01-96        1.70      NaN    -47.10
TTOM0177    24-01-96       1.71      NaN    -47.16
TTOM0178    21-02-96       1.74      NaN    -47.36
TTOM0179    21-02-96       1.68      NaN    -47.38
TTOM0181    21-03-96       1.73      NaN    -47.40
TTOM0182    21-03-96       1.70      NaN    -47.53
TTOM0183    15-04-96       1.71      NaN    -46.94
