JULIAN DATE,NH CH4 (obs),NH d13C (obs),NH MCF (obs),SH CH4 (obs),SH d13C (obs),SH MCF (obs),NH CH4 (err),NH d13C (err),NH MCF (err),SH CH4 (err),SH d13C (err),SH MCF (err),NH CH4 (mod),NH d13C (mod),NH MCF (mod),SH CH4 (mod),SH d13C (mod),SH MCF (mod),NH CH4 (ems),NH d13C (ems),NH MCF (ems),SH CH4 (ems),SH d13C (ems),SH MCF (ems),NH OH (ems),SH OH (ems),
days since Jan-1-0000,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,Tg/yr,permil,Gg/yr,Tg/yr,permil,Gg/yr,%,%,
   723181,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1575.762,  -47.661,   83.062, 1520.754,  -47.412,   73.064,  417.592,  -52.079,  503.144,  139.616,  -51.226,   -0.001,   -1.741,   -0.232,
   723547,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1622.171,  -47.703,   94.063, 1532.958,  -47.429,   75.576,  418.410,  -51.998,  505.428,  139.775,  -51.199,   -0.001,   -2.160,   -0.060,
   723912,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1650.915,  -47.715,   99.350, 1556.805,  -47.445,   80.494,  418.790,  -51.981,  476.175,  139.362,  -51.194,   -0.002,   -2.242,    0.662,
   724277,      NaN,      NaN,      NaN,      NaN,      NaN,   84.415,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1674.175,  -47.714,  103.145, 1578.531,  -47.447,   84.325,  418.634,  -51.962,  484.539,  138.329,  -51.187,   -0.002,   -1.901,    2.033,
   724642, 1697.395,      NaN,      NaN, 1595.862,      NaN,   87.695,   10.580,      NaN,   10.146,    5.742,      NaN,    3.084, 1692.235,  -47.699,  107.817, 1595.715,  -47.433,   87.808,  417.512,  -51.941,  530.673,  136.892,  -51.180,   -0.003,   -0.695,    3.886,
   725008, 1702.791,      NaN,      NaN, 1608.767,      NaN,   91.106,   10.580,      NaN,   10.146,    5.742,      NaN,    3.084, 1705.589,  -47.671,  112.707, 1608.814,  -47.408,   91.680,  416.686,  -51.919,  545.669,  136.465,  -51.172,   -0.003,    0.131,    4.821,
   725373, 1717.337,      NaN,      NaN, 1619.135,      NaN,   95.882,   10.580,      NaN,   10.146,    5.742,      NaN,    3.084, 1717.240,  -47.641,  117.101, 1620.183,  -47.378,   95.493,  417.400,  -51.900,  556.753,  137.404,  -51.161,   -0.003,   -0.540,    4.725,
   725738, 1731.587,      NaN,  119.865, 1631.612,      NaN,   98.649,    8.734,      NaN,   10.146,    5.742,      NaN,    3.084, 1728.045,  -47.613,  121.503, 1631.621,  -47.351,   99.236,  417.151,  -51.932,  577.973,  139.145,  -51.131,   -0.004,   -0.069,    4.321,
   726103, 1736.673,      NaN,  130.654, 1642.331,      NaN,  103.308,    8.028,      NaN,   10.146,    5.742,      NaN,    3.084, 1737.269,  -47.614,  126.214, 1643.160,  -47.332,  103.138,  416.464,  -52.403,  605.774,  141.953,  -50.952,   -0.005,    1.233,    3.293,
   726469, 1744.259,  -47.573,  136.050, 1655.523,      NaN,  107.660,    8.028,    0.096,   10.146,    5.742,      NaN,    3.084, 1746.346,  -47.568,  130.371, 1654.672,  -47.302,  107.085,  416.870,  -51.575,  603.090,  145.166,  -50.184,   -0.007,    1.726,    2.414,
   726834, 1755.330,  -47.574,  140.844, 1666.119,  -47.267,  109.884,    8.028,    0.096,   10.146,    5.742,    0.053,    3.084, 1756.732,  -47.574,  134.677, 1665.394,  -47.265,  110.667,  418.142,  -52.952,  633.344,  146.805,  -50.586,   -0.009,    0.964,    2.920,
   727199, 1768.431,  -47.610,  140.150, 1674.761,  -47.269,  113.558,    7.927,    0.096,    5.073,    5.742,    0.038,    1.542, 1767.907,  -47.600,  138.207, 1675.646,  -47.263,  114.136,  419.132,  -52.455,  612.214,  147.528,  -49.596,   -0.010,   -0.024,    3.114,
   727564, 1778.468,  -47.552,  141.506, 1687.710,  -47.235,  116.468,    7.927,    0.084,    4.967,    5.742,    0.034,    0.974, 1778.013,  -47.547,  141.273, 1685.449,  -47.228,  116.960,  418.912,  -52.003,  632.243,  147.042,  -49.487,   -0.010,    0.359,    3.095,
   727930, 1784.087,  -47.484,  140.438, 1693.443,  -47.217,  117.583,    7.927,    0.084,    4.735,    5.742,    0.034,    0.982, 1786.440,  -47.477,  137.303, 1692.836,  -47.209,  117.703,  420.246,  -51.773,  412.734,  145.421,  -51.432,   -0.010,    0.665,    4.416,
   728295, 1794.103,  -47.469,  129.018, 1696.930,  -47.193,  112.477,    7.927,    0.084,    4.938,    5.742,    0.034,    2.143, 1794.132,  -47.464,  126.626, 1698.158,  -47.186,  112.618,  423.876,  -52.228,  294.059,  145.113,  -50.718,   -0.012,    0.200,    5.777,
   728660, 1801.624,  -47.463,  114.719, 1703.544,  -47.145,  104.057,    7.927,    0.084,    4.528,    5.742,    0.034,    2.995, 1801.172,  -47.452,  114.848, 1703.123,  -47.137,  104.183,  427.247,  -52.114,  231.577,  145.589,  -49.497,   -0.016,    0.565,    6.870,
   729025, 1809.136,  -47.487,  100.950, 1707.250,  -47.117,   93.999,    7.927,    0.084,    4.648,    5.742,    0.034,    3.093, 1806.670,  -47.484,  100.328, 1707.044,  -47.110,   93.848,  430.093,  -53.250,   95.363,  145.882,  -50.056,   -0.020,    1.514,    8.576,
   729391, 1809.610,  -47.462,   85.616, 1710.142,  -47.141,   81.130,    7.927,    0.084,    4.397,    5.742,    0.034,    3.882, 1811.848,  -47.452,   84.735, 1711.130,  -47.134,   81.474,  433.892,  -51.599,   44.105,  147.911,  -50.619,   -0.025,    1.334,    8.613,
   729756, 1819.478,  -47.421,   71.979, 1716.916,  -47.123,   69.741,    7.927,    0.081,    3.677,    5.742,    0.034,    3.340, 1819.621,  -47.421,   71.311, 1718.164,  -47.117,   69.404,  438.317,  -52.329,   28.403,  150.850,  -50.703,   -0.031,    0.176,    7.523,
   730121, 1830.581,  -47.454,   59.957, 1727.203,  -47.119,   59.076,    6.637,    0.078,    3.258,    5.742,    0.034,    2.960, 1827.486,  -47.443,   60.085, 1726.567,  -47.112,   58.710,  439.484,  -52.482,   24.159,  152.067,  -50.176,   -0.037,    2.078,    7.922,
   730486, 1829.797,  -47.425,   50.127, 1733.024,  -47.124,   49.613,    6.637,    0.062,    2.624,    5.742,    0.034,    2.556, 1831.312,  -47.424,   50.559, 1731.350,  -47.119,   49.453,  439.044,  -52.077,   21.002,  151.350,  -51.147,   -0.044,    4.825,    9.775,
   730852, 1833.840,  -47.434,   41.656, 1731.156,  -47.125,   41.301,    6.637,    0.050,    2.291,    5.742,    0.034,    2.246, 1832.759,  -47.429,   42.338, 1731.692,  -47.119,   41.463,  440.223,  -52.547,   13.817,  150.060,  -51.129,   -0.050,    4.657,   11.516,
   731217, 1834.665,  -47.439,   34.789, 1731.303,  -47.135,   34.394,    6.637,    0.050,    1.759,    5.742,    0.034,    1.812, 1834.224,  -47.440,   35.391, 1731.584,  -47.134,   34.684,  441.181,  -52.273,   11.114,  149.794,  -51.400,   -0.055,    3.747,   11.462,
   731582, 1837.279,  -47.421,   29.107, 1732.948,  -47.143,   28.624,    6.637,    0.050,    1.461,    5.742,    0.034,    1.529, 1836.554,  -47.417,   29.611, 1732.926,  -47.141,   29.019,  441.497,  -51.825,    8.963,  149.414,  -51.577,   -0.060,    2.736,   10.986,
   731947, 1841.015,  -47.397,   24.348, 1734.769,  -47.123,   23.871,    6.432,    0.050,    1.295,    5.742,    0.034,    1.275, 1838.391,  -47.398,   24.772, 1734.799,  -47.124,   24.290,  440.105,  -52.043,    7.224,  148.431,  -51.322,   -0.064,    3.058,   10.730,
   732313, 1838.340,  -47.415,   20.187, 1737.220,  -47.115,   19.874,    6.432,    0.050,    1.036,    5.742,    0.034,    1.025, 1838.491,  -47.412,   20.690, 1735.982,  -47.113,   20.316,  438.010,  -52.452,    5.702,  147.443,  -51.218,   -0.066,    3.755,   10.158,
   732678, 1839.672,  -47.445,   16.994, 1736.889,  -47.106,   16.650,    6.432,    0.050,    0.857,    5.742,    0.034,    0.877, 1839.334,  -47.449,   17.298, 1736.982,  -47.107,   16.999,  437.669,  -52.745,    4.442,  146.674,  -50.228,   -0.068,    2.276,    9.246,
   733043, 1843.242,  -47.443,   14.221, 1740.131,  -47.127,   13.876,    6.432,    0.050,    0.717,    5.742,    0.030,    0.720, 1843.379,  -47.444,   14.495, 1740.449,  -47.127,   14.251,  438.110,  -52.112,    3.419,  146.753,  -51.186,   -0.069,   -0.066,    7.362,
   733408, 1851.441,  -47.430,   11.941, 1747.320,  -47.127,   11.650,    6.432,    0.050,    0.617,    5.742,    0.030,    0.590, 1850.001,  -47.432,   12.171, 1746.504,  -47.129,   11.973,  437.803,  -52.164,    2.594,  146.054,  -50.651,   -0.069,   -1.492,    6.262,
   733774, 1857.286,  -47.466,    9.982, 1752.735,  -47.165,    9.785,    6.432,    0.050,    0.506,    5.742,    0.030,    0.484, 1856.427,  -47.468,   10.215, 1752.834,  -47.166,   10.058,  436.388,  -52.704,    1.929,  144.660,  -52.380,   -0.067,   -1.561,    5.925,
   734139, 1862.434,  -47.539,    8.417, 1758.076,  -47.214,    8.365,    6.432,    0.050,    0.421,    5.742,    0.030,    0.405, 1860.782,  -47.544,    8.565, 1758.031,  -47.218,    8.448,  434.426,  -52.941,    1.371,  143.587,  -51.063,   -0.066,   -0.850,    5.471,
   734504, 1863.059,  -47.588,    7.020, 1763.160,  -47.262,    6.937,    6.432,    0.050,    0.364,    5.742,    0.030,    0.351, 1863.698,  -47.594,    7.172, 1761.956,  -47.267,    7.087,  432.878,  -52.845,    0.953,  142.692,  -51.615,   -0.064,   -0.684,    4.906,
   734869, 1867.416,  -47.600,    5.858, 1765.684,  -47.294,    5.808,    6.432,    0.045,    0.333,    5.742,    0.030,    0.318, 1868.395,  -47.606,    6.014, 1765.627,  -47.299,    5.944,  433.307,  -52.338,    0.677,  141.510,  -51.083,   -0.053,   -3.193,    4.330,
   735235, 1878.408,  -47.578,    4.835, 1770.297,  -47.307,    4.862,    6.381,    0.039,    0.251,    5.742,    0.030,    0.240, 1875.773,  -47.582,    5.056, 1771.119,  -47.312,    4.993,  433.079,  -51.947,    0.582,  140.332,  -51.902,   -0.032,   -5.609,    3.391,
   735600, 1883.863,  -47.571,    4.066, 1778.363,  -47.311,    4.007,    6.000,    0.033,    0.215,    5.742,    0.030,    0.202, 1882.698,  -47.574,    4.264, 1778.546,  -47.315,    4.210,  430.278,  -52.133,    0.627,  139.658,  -51.723,   -0.004,   -5.523,    1.829,
   735965,      NaN,      NaN,    3.545,      NaN,      NaN,    3.514,      NaN,      NaN,    0.100,      NaN,      NaN,    0.100, 1887.299,  -47.570,    3.601, 1785.618,  -47.306,    3.558,  427.057,  -52.150,    0.607,  139.267,  -51.250,    0.011,   -4.321,    0.768,
   736330,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1889.650,  -47.553,    3.040, 1790.412,  -47.289,    3.008,  424.420,  -52.150,    0.483,  138.947,  -51.250,    0.008,   -3.097,    0.551,
