JULIAN DATE,NH CH4 (obs),NH d13C (obs),NH MCF (obs),SH CH4 (obs),SH d13C (obs),SH MCF (obs),NH CH4 (err),NH d13C (err),NH MCF (err),SH CH4 (err),SH d13C (err),SH MCF (err),NH CH4 (mod),NH d13C (mod),NH MCF (mod),SH CH4 (mod),SH d13C (mod),SH MCF (mod),NH CH4 (ems),NH d13C (ems),NH MCF (ems),SH CH4 (ems),SH d13C (ems),SH MCF (ems),NH OH (ems),SH OH (ems),
days since Jan-1-0000,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,Tg/yr,permil,Gg/yr,Tg/yr,permil,Gg/yr,%,%,
   723181,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1576.192,  -47.574,   80.384, 1520.891,  -46.964,   70.356,  417.214,  -51.769,  523.459,  138.256,  -51.339,    0.095,   -0.992,   -0.628,
   723547,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1621.526,  -47.490,   92.736, 1532.892,  -47.160,   73.743,  418.031,  -52.188,  520.744,  138.088,  -51.086,   -0.252,   -1.641,   -1.037,
   723912,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1650.123,  -47.561,   98.902, 1556.825,  -47.233,   79.565,  418.364,  -52.643,  491.492,  137.413,  -50.805,    0.064,   -2.009,   -0.853,
   724277,      NaN,      NaN,      NaN,      NaN,      NaN,   84.415,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1673.894,  -47.586,  103.134, 1578.827,  -47.291,   84.095,  418.367,  -51.873,  488.053,  136.003,  -51.177,    0.025,   -2.077,    0.537,
   724642, 1697.395,      NaN,      NaN, 1595.862,      NaN,   87.695,   10.580,      NaN,   10.146,    5.742,      NaN,    3.084, 1692.209,  -47.583,  107.692, 1595.997,  -47.301,   87.810,  417.359,  -52.120,  525.366,  134.446,  -51.032,   -0.347,   -0.488,    2.895,
   725008, 1702.791,      NaN,      NaN, 1608.767,      NaN,   91.106,   10.580,      NaN,   10.146,    5.742,      NaN,    3.084, 1705.032,  -47.616,  112.464, 1608.845,  -47.314,   91.652,  416.369,  -52.594,  544.544,  133.723,  -51.387,   -0.082,    0.788,    3.514,
   725373, 1717.337,      NaN,      NaN, 1619.135,      NaN,   95.882,   10.580,      NaN,   10.146,    5.742,      NaN,    3.084, 1716.862,  -47.628,  116.639, 1620.082,  -47.338,   95.424,  416.539,  -52.075,  544.614,  134.093,  -51.210,   -0.156,   -1.193,    3.136,
   725738, 1731.587,      NaN,  119.865, 1631.612,      NaN,   98.649,    8.734,      NaN,   10.146,    5.742,      NaN,    3.084, 1728.210,  -47.603,  121.049, 1631.627,  -47.324,   99.067,  415.932,  -51.966,  575.517,  135.151,  -50.747,   -0.014,   -0.761,    2.831,
   726103, 1736.673,      NaN,  130.654, 1642.331,      NaN,  103.308,    8.028,      NaN,   10.146,    5.742,      NaN,    3.084, 1737.199,  -47.618,  126.211, 1643.185,  -47.325,  103.157,  414.660,  -52.681,  611.735,  137.107,  -51.439,    0.184,    0.924,    1.345,
   726469, 1744.259,  -47.573,  136.050, 1655.523,      NaN,  107.660,    8.028,    0.096,   10.146,    5.742,      NaN,    3.084, 1745.886,  -47.586,  130.287, 1654.838,  -47.316,  107.381,  414.333,  -51.600,  590.132,  139.543,  -50.029,   -0.268,    1.246,   -0.355,
   726834, 1755.330,  -47.574,  140.844, 1666.119,  -47.267,  109.884,    8.028,    0.096,   10.146,    5.742,    0.053,    3.084, 1756.437,  -47.590,  134.117, 1665.409,  -47.283,  110.809,  414.399,  -52.958,  614.410,  140.305,  -50.681,   -0.726,   -0.417,    0.436,
   727199, 1768.431,  -47.610,  140.150, 1674.761,  -47.269,  113.558,    7.927,    0.096,    5.073,    5.742,    0.038,    1.542, 1768.080,  -47.622,  137.321, 1675.484,  -47.285,  114.008,  414.310,  -52.526,  591.822,  140.068,  -49.579,   -0.527,   -2.324,    0.384,
   727564, 1778.468,  -47.552,  141.506, 1687.710,  -47.235,  116.468,    7.927,    0.084,    4.967,    5.742,    0.034,    0.974, 1778.063,  -47.571,  140.549, 1685.605,  -47.252,  116.796,  413.316,  -52.003,  624.763,  138.775,  -49.294,   -0.068,   -1.317,   -0.368,
   727930, 1784.087,  -47.484,  140.438, 1693.443,  -47.217,  117.583,    7.927,    0.084,    4.735,    5.742,    0.034,    0.982, 1786.200,  -47.498,  136.639, 1692.754,  -47.235,  117.705,  414.215,  -51.768,  394.468,  136.283,  -51.631,    0.310,   -1.347,    1.141,
   728295, 1794.103,  -47.469,  129.018, 1696.930,  -47.193,  112.477,    7.927,    0.084,    4.938,    5.742,    0.034,    2.143, 1794.113,  -47.489,  125.420, 1697.928,  -47.211,  112.522,  417.486,  -52.258,  261.499,  135.236,  -50.574,    0.577,   -2.555,    1.962,
   728660, 1801.624,  -47.463,  114.719, 1703.544,  -47.145,  104.057,    7.927,    0.084,    4.528,    5.742,    0.034,    2.995, 1801.659,  -47.478,  112.814, 1703.566,  -47.164,  103.647,  421.618,  -52.125,  193.035,  135.736,  -49.456,    0.343,   -1.789,    2.577,
   729025, 1809.136,  -47.487,  100.950, 1707.250,  -47.117,   93.999,    7.927,    0.084,    4.648,    5.742,    0.034,    3.093, 1807.067,  -47.510,   98.360, 1707.601,  -47.137,   92.824,  425.867,  -53.285,   86.894,  136.780,  -49.910,   -0.082,    0.423,    5.322,
