JULIAN DATE,NH CH4 (obs),NH d13C (obs),NH MCF (obs),SH CH4 (obs),SH d13C (obs),SH MCF (obs),NH CH4 (err),NH d13C (err),NH MCF (err),SH CH4 (err),SH d13C (err),SH MCF (err),NH CH4 (mod),NH d13C (mod),NH MCF (mod),SH CH4 (mod),SH d13C (mod),SH MCF (mod),NH CH4 (ems),NH d13C (ems),NH MCF (ems),SH CH4 (ems),SH d13C (ems),SH MCF (ems),NH OH (ems),SH OH (ems),
days since Jan-1-0000,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,ppb,permil,ppt,Tg/yr,permil,Gg/yr,Tg/yr,permil,Gg/yr,%,%,
   723181,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1575.000,  -47.500,   85.000, 1520.000,  -47.250,   75.000,  412.500,  -52.150,  533.510,  137.500,  -51.250,    0.000,    0.000,    0.000,
   723547,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1616.040,  -47.564,   97.464, 1529.197,  -47.281,   77.840,  412.500,  -52.150,  545.760,  137.500,  -51.250,    0.000,    0.000,    0.000,
   723912,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1640.470,  -47.599,  103.917, 1549.774,  -47.319,   83.633,  412.500,  -52.150,  521.100,  137.500,  -51.250,    0.000,    0.000,    0.000,
   724277,      NaN,      NaN,      NaN,      NaN,      NaN,   84.415,      NaN,      NaN,   10.146,      NaN,      NaN,    3.084, 1660.923,  -47.621,  108.885, 1569.758,  -47.346,   88.507,  412.500,  -52.150,  534.150,  137.500,  -51.250,    0.000,    0.000,    0.000,
   724642, 1697.395,      NaN,      NaN, 1595.862,      NaN,   87.695,   10.580,      NaN,   10.146,    5.742,      NaN,    3.084, 1679.117,  -47.636,  114.840, 1587.895,  -47.364,   93.194,  412.500,  -52.150,  582.830,  137.500,  -51.250,    0.000,    0.000,    0.000,
   725008, 1702.791,      NaN,      NaN, 1608.767,      NaN,   91.106,   10.580,      NaN,   10.146,    5.742,      NaN,    3.084, 1695.484,  -47.644,  120.832, 1604.256,  -47.375,   98.291,  412.500,  -52.150,  591.590,  137.500,  -51.250,    0.000,    0.000,    0.000,
   725373, 1717.337,      NaN,      NaN, 1619.135,      NaN,   95.882,   10.580,      NaN,   10.146,    5.742,      NaN,    3.084, 1710.144,  -47.646,  126.006, 1618.915,  -47.381,  103.055,  412.500,  -52.150,  600.810,  137.500,  -51.250,    0.000,    0.000,    0.000,
   725738, 1731.587,      NaN,  119.865, 1631.612,      NaN,   98.649,    8.734,      NaN,   10.146,    5.742,      NaN,    3.084, 1723.316,  -47.645,  131.053, 1632.086,  -47.381,  107.480,  412.500,  -52.150,  621.450,  137.500,  -51.250,    0.000,    0.000,    0.000,
   726103, 1736.673,      NaN,  130.654, 1642.331,      NaN,  103.308,    8.028,      NaN,   10.146,    5.742,      NaN,    3.084, 1735.150,  -47.640,  136.869, 1643.920,  -47.378,  112.027,  412.500,  -52.150,  663.740,  137.500,  -51.250,    0.000,    0.000,    0.000,
